arber_LUFTTEMPERATUR,arber_NIEDERSCHLAGSHOEHE,arber_DAMPFDRUCK,arber_NIEDERSCHLAGSHOEHE_IND,arber_SCHNEEHOEHE,schorndorf_LUFTTEMPERATUR,schorndorf_NIEDERSCHLAGSHOEHE,schorndorf_DAMPFDRUCK,schorndorf_NIEDERSCHLAGSHOEHE_IND,schorndorf_SCHNEEHOEHE,straubing_LUFTTEMPERATUR,straubing_NIEDERSCHLAGSHOEHE,straubing_DAMPFDRUCK,straubing_NIEDERSCHLAGSHOEHE_IND,straubing_SCHNEEHOEHE
6.1,9.5,8.1,6,0,11.4,0.0,10.9,0.0,0.0,12.4,0.0,10.3,0.0,0.0
8.2,0.0,9.1,0,0,11.6,0.0,11.6,0.0,0.0,13.8,0.0,11.3,0.0,0.0
2.4,13.8,7.2,8,0,9.6,1.4,9.9,6.0,0.0,9.9,0.5,9.7,6.0,0.0
0.4,4.1,6.3,8,0,8.6,0.5,9.2,6.0,0.0,10.5,0.2,7.8,6.0,0.0
3.2,0.0,4.4,0,0,7.6,0.0,7.6,0.0,0.0,10.4,0.0,7.2,0.0,0.0
7.8,0.0,7.9,0,0,14.2,0.0,9.7,0.0,0.0,14.2,0.0,8.9,0.0,0.0
10.2,0.0,8.9,6,0,15.5,0.0,12.9,0.0,0.0,17.7,0.9,11.5,6.0,0.0
8.5,0.1,10.3,6,0,13.7,7.9,13.1,6.0,0.0,14.5,9.0,13.2,6.0,0.0
2.9,10.3,7.6,6,0,7.0,8.1,9.6,6.0,0.0,6.8,12.1,9.6,6.0,0.0
2.8,0.0,7.5,0,0,7.9,0.0,9.2,0.0,0.0,8.6,0.0,9.2,6.0,0.0
4.1,0.0,8.0,6,0,11.0,0.0,10.7,0.0,0.0,12.1,0.0,11.1,0.0,0.0
5.0,1.5,8.4,6,0,11.0,3.8,11.7,6.0,0.0,11.7,4.7,11.7,6.0,0.0
7.5,9.8,10.1,6,0,11.7,18.1,13.1,6.0,0.0,12.0,17.6,13.2,6.0,0.0
7.2,1.4,9.8,6,0,12.2,6.5,13.6,6.0,0.0,12.1,5.4,13.3,6.0,0.0
9.1,2.0,10.5,6,0,13.8,0.0,13.9,0.0,0.0,15.0,0.0,13.4,6.0,0.0
9.0,0.1,9.5,6,0,12.7,18.8,13.2,6.0,0.0,15.3,2.1,14.0,6.0,0.0
10.3,1.1,10.2,6,0,15.0,0.0,14.7,6.0,0.0,17.4,0.3,14.7,6.0,0.0
13.7,0.2,7.6,6,0,17.0,1.0,15.5,6.0,0.0,18.8,3.2,15.5,6.0,0.0
11.6,3.3,8.9,6,0,16.2,1.3,16.0,6.0,0.0,16.8,3.6,14.7,6.0,0.0
3.1,0.3,7.5,6,0,11.5,0.3,11.5,6.0,0.0,11.5,2.0,10.7,6.0,0.0
5.6,2.2,5.5,8,0,10.4,0.3,9.6,6.0,0.0,12.4,1.2,9.7,6.0,0.0
2.1,0.7,5.9,8,0,9.3,0.1,8.6,6.0,0.0,10.2,0.0,8.1,6.0,0.0
3.7,2.3,7.4,6,0,12.0,0.0,10.3,6.0,0.0,11.8,1.5,11.1,6.0,0.0
9.7,4.4,9.1,6,0,14.8,2.0,12.8,6.0,0.0,16.4,1.4,13.2,6.0,0.0
7.1,14.2,10.1,6,0,14.2,14.0,14.4,6.0,0.0,15.0,10.4,14.4,6.0,0.0
4.0,28.9,7.8,6,0,12.3,6.9,11.1,6.0,0.0,12.3,7.3,11.9,6.0,0.0
4.9,36.7,8.6,6,0,13.0,6.0,13.3,6.0,0.0,12.9,10.8,13.3,6.0,0.0
-1.0,0.2,5.2,7,0,8.3,0.0,7.4,0.0,0.0,8.7,0.0,7.2,0.0,0.0
5.7,0.0,5.4,0,0,11.2,0.0,9.7,0.0,0.0,10.8,0.0,9.0,0.0,0.0
13.0,0.0,7.5,0,0,15.2,0.0,12.7,0.0,0.0,16.5,0.0,10.9,0.0,0.0
16.7,0.0,8.2,0,0,18.2,0.0,14.1,0.0,0.0,18.9,0.0,13.8,0.0,0.0
15.1,8.7,10.4,6,0,20.6,0.0,17.3,6.0,0.0,21.6,1.3,16.4,6.0,0.0
