DATE, MESS_DATUM, QUALITAETS_NIVEAU, LUFTTEMPERATUR,DAMPFDRUCK,BEDECKUNGSGRAD,LUFTDRUCK_STATIONSHOEHE,REL_FEUCHTE, WINDGESCHWINDIGKEIT, LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMP_AM_ERDB_MINIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE,NIEDERSCHLAGSHOEHE_IND,SONNENSCHEINDAUER, SCHNEEHOEHE
01.01.1951,19510101,   5,   -6.3,   3.3,   6.3,    -999,   87.00,-999,   -3.9,  -18.3,  -17.8,-999,   0.0,   0,    1.000,  19
02.01.1951,19510102,   5,   -6.2,   3.3,   5.3,    -999,   87.00,-999,   -4.0,  -13.0,  -12.6,-999,   0.0,   1,    1.700,  18
03.01.1951,19510103,   5,   -3.4,   4.5,   8.0,    -999,   96.00,-999,   -0.8,   -9.1,  -10.7,-999,   3.2,   7,    0.000,  18
04.01.1951,19510104,   5,   -5.4,   4.1,   7.0,    -999,   92.00,-999,   -1.5,   -9.9,   -5.3,-999,   2.9,   7,    0.000,  19
05.01.1951,19510105,   5,   -2.8,   4.9,   5.0,    -999,   94.00,-999,    0.8,   -9.3,  -10.0,-999,   0.0,   1,    0.000,  21
06.01.1951,19510106,   5,   -6.4,   3.6,   6.7,    -999,   94.00,-999,   -4.5,   -9.8,  -10.2,-999,   0.0,   0,    0.000,  21
07.01.1951,19510107,   5,   -2.8,   4.5,   7.3,    -999,   93.00,-999,    1.6,  -13.3,  -13.0,-999,   0.0,   1,    0.000,  20
08.01.1951,19510108,   5,    0.3,   5.7,   4.0,    -999,   88.00,-999,    3.0,   -2.6,   -3.0,-999,   0.0,   0,    0.400,  18
09.01.1951,19510109,   5,   -6.8,   3.6,   5.3,    -999,   92.00,-999,   -0.5,  -10.3,  -10.0,-999,   0.0,   1,    0.000,  18
10.01.1951,19510110,   5,   -9.4,   3.1,   4.0,    -999,   92.00,-999,   -2.3,  -13.5,  -13.1,-999,   0.0,   0,    0.000,  18
11.01.1951,19510111,   5,   -2.8,   4.3,   5.0,    -999,   89.00,-999,    0.0,  -13.5,  -13.5,-999,   0.0,   0,    0.000,  18
12.01.1951,19510112,   5,   -3.8,   3.7,   1.3,    -999,   81.00,-999,   -0.2,  -11.0,  -12.8,-999,   0.7,   7,    3.400,  18
13.01.1951,19510113,   5,   -0.8,   5.3,   8.0,    -999,   94.00,-999,    0.5,   -7.8,  -10.0,-999,   0.8,   7,    0.000,  18
14.01.1951,19510114,   5,   -0.2,   5.6,   6.7,    -999,   94.00,-999,    1.0,   -3.2,   -3.2,-999,   0.0,   0,    2.300,  18
15.01.1951,19510115,   5,   -1.1,   5.2,   6.0,    -999,   94.00,-999,    2.2,   -8.9,   -9.5,-999,   8.7,   8,    0.000,  18
16.01.1951,19510116,   5,    0.8,   5.9,   8.0,    -999,   91.00,-999,    2.7,   -0.8,   -2.0,-999,   1.9,   7,    0.400,  19
17.01.1951,19510117,   5,    0.2,   5.7,   8.0,    -999,   92.00,-999,    1.5,   -1.5,   -2.6,-999,  14.1,   8,    2.200,  19
18.01.1951,19510118,   5,    2.2,   6.8,   7.0,    -999,   94.00,-999,    3.6,   -0.6,   -1.1,-999,  10.1,   8,    0.000,  25
19.01.1951,19510119,   5,    1.4,   6.4,   8.0,    -999,   94.00,-999,    2.3,    0.6,    0.0,-999,   3.4,   1,    0.500,  20
20.01.1951,19510120,   5,    1.4,   6.3,   8.0,    -999,   92.00,-999,    2.5,    0.2,   -0.6,-999,   2.1,   1,    0.000,  18
21.01.1951,19510121,   5,   -1.4,   4.9,   4.0,    -999,   84.00,-999,    2.4,   -5.2,   -1.5,-999,   0.0,   0,    3.200,  16
22.01.1951,19510122,   5,   -2.4,   4.5,   8.0,    -999,   92.00,-999,   -0.7,   -7.7,   -8.7,-999,   0.8,   7,    0.000,  16
